repo_url,repo_name,pr_url,author,title,matching_js_test_files,matched_terms,found_test_keywords,found_async_keywords,total_async_keywords_count,files_changed_in_pr,lines_changed_in_pr,total_test_files,files_with_test_and_async,created_at,merged_at,async_keywords_breakdown,files_async_counts
https://api.github.com/repos/goodeggs/express-promise-middleware,goodeggs/express-promise-middleware,https://github.com/goodeggs/express-promise-middleware/pull/2,serhalp,Fix race condition bug.,src/test.js,race condition,describe(;it(,async;promise,25,2,31,1,1,2019-01-08T19:18:51Z,2019-01-08T22:23:44Z,promise:12;async:13,src/test.js:25
https://api.github.com/repos/ONSdigital/eq-author-app,ONSdigital/eq-author-app,https://github.com/ONSdigital/eq-author-app/pull/100,tgandrews,Upgrade apollo,eq-author/src/components/withEntityEditor/index.test.js;eq-author/src/containers/enhancers/withDeletePage.test.js,race condition,describe(;it(,promise,5,10,385,3,2,2019-01-02T10:34:54Z,2019-01-03T13:39:08Z,promise:5;async:0,eq-author/src/components/withEntityEditor/index.test.js:2;eq-author/src/containers/enhancers/withDeletePage.test.js:3
https://api.github.com/repos/hmcts/ccd-case-management-web,hmcts/ccd-case-management-web,https://github.com/hmcts/ccd-case-management-web/pull/487,noronhaa,"Revert ""Rdm 3565 UI Toolkit: Use Get CaseHistoryForEvent API v2""",src/app/app.config.spec.ts,flaky test,describe(;it(,async,2,7,75,4,1,2019-01-14T16:06:48Z,2019-01-14T16:47:40Z,promise:0;async:2,src/app/app.config.spec.ts:2
https://api.github.com/repos/ManageIQ/manageiq-v2v,ManageIQ/manageiq-v2v,https://github.com/ManageIQ/manageiq-v2v/pull/849,michaelkro,Fetch providers first,app/javascript/react/screens/App/Overview/__test__/Overview.test.js,race condition,describe(;test(,async;promise,5,4,60,1,1,2019-01-14T15:52:56Z,2019-01-15T14:42:40Z,promise:3;async:2,app/javascript/react/screens/App/Overview/__test__/Overview.test.js:5
https://api.github.com/repos/iov-one/iov-core,iov-one/iov-core,https://github.com/iov-one/iov-core/pull/692,webmaster128,Avoid extra query in block header events,packages/iov-bns/src/bnsconnection.spec.ts,race condition,describe(;it(,async;promise,50,3,63,1,1,2019-01-15T14:58:40Z,2019-01-17T11:38:22Z,promise:12;async:38,packages/iov-bns/src/bnsconnection.spec.ts:50
https://api.github.com/repos/launchdarkly/node-server-sdk,launchdarkly/node-server-sdk,https://github.com/launchdarkly/node-server-sdk/pull/134,eli-darkly,prepare 5.7.0 release,test/LDClient-evaluation-test.js;test/LDClient-events-test.js;test/LDClient-test.js;test/caching_store_wrapper-test.js;test/file_data_source-test.js;test/streaming-test.js,race condition,describe(;it(,async;promise,83,21,2837,6,6,2019-01-12T00:43:56Z,2019-01-12T00:54:43Z,promise:6;async:77,test/LDClient-evaluation-test.js:26;test/LDClient-events-test.js:7;test/LDClient-test.js:5;test/caching_store_wrapper-test.js:21;test/file_data_source-test.js:12;test/streaming-test.js:12
https://api.github.com/repos/magento/pwa-studio,magento/pwa-studio,https://github.com/magento/pwa-studio/pull/743,jimbo,Replace waait with wait-for-expect,packages/venia-concept/src/components/CategoryList/__tests__/categoryList.spec.js;packages/venia-concept/src/components/CreateAccount/__tests__/createAccount.spec.js;packages/venia-concept/src/components/Navigation/__tests__/categoryTree.spec.js,flaky test,test(,async,7,5,64,3,3,2019-01-10T21:26:52Z,2019-01-10T21:31:03Z,promise:0;async:7,packages/venia-concept/src/components/CategoryList/__tests__/categoryList.spec.js:1;packages/venia-concept/src/components/CreateAccount/__tests__/createAccount.spec.js:4;packages/venia-concept/src/components/Navigation/__tests__/categoryTree.spec.js:2
https://api.github.com/repos/webex/webex-js-sdk,webex/webex-js-sdk,https://github.com/webex/webex-js-sdk/pull/1073,mattnorris,Fix skipping flaky tests,packages/node_modules/@ciscospark/http-core/test/integration/spec/request.js;packages/node_modules/@ciscospark/plugin-messages/test/integration/spec/messages.js;packages/node_modules/@ciscospark/plugin-phone/test/integration/spec/dtmf.js,flaky test,describe(;it(,promise,16,6,77,3,3,2019-01-10T15:58:12Z,2019-01-10T21:30:34Z,promise:16;async:0,packages/node_modules/@ciscospark/http-core/test/integration/spec/request.js:6;packages/node_modules/@ciscospark/plugin-messages/test/integration/spec/messages.js:6;packages/node_modules/@ciscospark/plugin-phone/test/integration/spec/dtmf.js:4
https://api.github.com/repos/facebook/react,facebook/react,https://github.com/facebook/react/pull/14626,gaearon,Support sync thenables for lazy(),packages/react-reconciler/src/__tests__/ReactLazy-test.internal.js,race condition,describe(;it(,async;promise,52,2,23,1,1,2019-01-18T10:42:59Z,2019-01-18T21:16:02Z,promise:20;async:32,packages/react-reconciler/src/__tests__/ReactLazy-test.internal.js:52
https://api.github.com/repos/SerayaEryn/fast-translation,SerayaEryn/fast-translation,https://github.com/SerayaEryn/fast-translation/pull/7,SerayaEryn,fix flaky test,test/translation.test.js,flaky test,test(,promise,6,2,5,1,1,2019-01-17T19:15:25Z,2019-01-17T19:19:10Z,promise:6;async:0,test/translation.test.js:6
